Data,Maturity,Maturity Date,Product,Market Rate,Time,Zero Rate,Forward Rate,Discount Factor,Source
20250102,1M,2025-02-03,DEPOSIT,0.012000000000000002,0.08767123287671233,0.011955728065985343,0.011961996093972152,0.998952375722393,Bootstrapping.py
20250102,3M,2025-04-02,DEPOSIT,0.012499999999999999,0.2465753424657534,0.012421803859759186,0.012440846733991102,0.9969417753843173,Bootstrapping.py
20250102,6M,2025-07-02,DEPOSIT,0.013,0.4958904109589041,0.012905397864377976,0.012946781196003277,0.9936207711790604,Bootstrapping.py
20250102,1Y,2026-01-02,SWAP,0.014,1.0,0.013961227010359695,0.014059140071709608,0.9861357789539618,Bootstrapping.py
20250102,2Y,2027-01-04,SWAP,0.015000000000000001,2.0054794520547947,0.014978385695214596,0.015205621994667224,0.9704078375794214,Bootstrapping.py
20250102,3Y,2028-01-03,SWAP,0.016,3.0027397260273974,0.01598877040682003,0.01637879848079448,0.9531241451573165,Bootstrapping.py
20250102,5Y,2030-01-02,SWAP,0.017,5.002739726027397,0.017001955107958298,0.017745961070961422,0.9184605219624746,Bootstrapping.py
20250102,7Y,2032-01-02,SWAP,0.0175,7.002739726027397,0.01751143241354474,0.018630395981285214,0.8845926668077996,Bootstrapping.py
20250102,10Y,2035-01-02,SWAP,0.018000000000000002,10.005479452054795,0.018029926686800056,0.019758575734207896,0.8349377890932135,Bootstrapping.py
20250102,15Y,2040-01-02,SWAP,0.018500000000000003,15.008219178082191,0.018556495771594492,0.021398044836723668,0.7569183012683325,Bootstrapping.py
20250102,20Y,2045-01-02,SWAP,0.018800000000000004,20.013698630136986,0.01887928359137728,0.02294107325116917,0.6853372047405087,Bootstrapping.py
20250102,25Y,2050-01-03,SWAP,0.019000000000000003,25.019178082191782,0.019099783321353217,0.024486060985487952,0.6201084603164685,Bootstrapping.py
20250102,30Y,2055-01-04,SWAP,0.019200000000000002,30.024657534246575,0.019334793275872595,0.026210736562561992,0.5596069892166896,Bootstrapping.py
