Bond Name,Call Date,Call Price,Exercise Paths,Exercise %,Run Timestamp
HybridBond_1,"August 30th, 2027",10000000.0,4102,41.02,2026-09-07 20:40:51.198048
HybridBond_1,"November 29th, 2027",10000000.0,520,5.2,2026-09-07 20:40:51.198048
HybridBond_1,"February 29th, 2028",10000000.0,357,3.5700000000000003,2026-09-07 20:40:51.198048
HybridBond_1,"May 29th, 2028",10000000.0,390,3.9,2026-09-07 20:40:51.198048
HybridBond_1,"August 29th, 2028",10000000.0,309,3.09,2026-09-07 20:40:51.198048
HybridBond_1,"November 29th, 2028",10000000.0,278,2.78,2026-09-07 20:40:51.198048
HybridBond_1,"February 28th, 2029",10000000.0,291,2.91,2026-09-07 20:40:51.198048
HybridBond_1,"May 29th, 2029",10000000.0,469,4.6899999999999995,2026-09-07 20:40:51.198048
HybridBond_2,"August 30th, 2027",10000000.0,747,7.470000000000001,2026-09-07 20:40:51.198048
HybridBond_2,"November 29th, 2027",10000000.0,24,0.24,2026-09-07 20:40:51.198048
HybridBond_2,"February 29th, 2028",10000000.0,208,2.08,2026-09-07 20:40:51.198048
HybridBond_2,"May 29th, 2028",10000000.0,905,9.049999999999999,2026-09-07 20:40:51.198048
HybridBond_2,"August 29th, 2028",10000000.0,1019,10.190000000000001,2026-09-07 20:40:51.198048
HybridBond_2,"November 29th, 2028",10000000.0,780,7.8,2026-09-07 20:40:51.198048
HybridBond_2,"February 28th, 2029",10000000.0,716,7.16,2026-09-07 20:40:51.198048
HybridBond_2,"May 29th, 2029",10000000.0,1175,11.75,2026-09-07 20:40:51.198048
HybridBond_3,"August 30th, 2027",10000000.0,4684,46.839999999999996,2026-09-07 20:40:51.198048
HybridBond_3,"November 29th, 2027",10000000.0,368,3.6799999999999997,2026-09-07 20:40:51.198048
HybridBond_3,"February 29th, 2028",10000000.0,1081,10.81,2026-09-07 20:40:51.198048
HybridBond_3,"May 29th, 2028",10000000.0,1423,14.23,2026-09-07 20:40:51.198048
HybridBond_3,"August 29th, 2028",10000000.0,509,5.09,2026-09-07 20:40:51.198048
HybridBond_3,"November 29th, 2028",10000000.0,289,2.8899999999999997,2026-09-07 20:40:51.198048
HybridBond_3,"February 28th, 2029",10000000.0,284,2.8400000000000003,2026-09-07 20:40:51.198048
HybridBond_3,"May 29th, 2029",10000000.0,399,3.9899999999999998,2026-09-07 20:40:51.198048
HybridBond_4,"August 30th, 2027",10000000.0,10000,100.0,2026-09-07 20:40:51.198048
HybridBond_4,"November 29th, 2027",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_4,"February 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_4,"May 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_4,"August 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_4,"November 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_4,"February 28th, 2029",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_4,"May 29th, 2029",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_5,"August 30th, 2027",10000000.0,10000,100.0,2026-09-07 20:40:51.198048
HybridBond_5,"November 29th, 2027",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_5,"February 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_5,"May 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_5,"August 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_5,"November 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_5,"February 28th, 2029",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_5,"May 29th, 2029",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_6,"August 30th, 2027",10000000.0,10000,100.0,2026-09-07 20:40:51.198048
HybridBond_6,"November 29th, 2027",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_6,"February 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_6,"May 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_6,"August 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_6,"November 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_6,"February 28th, 2029",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_6,"May 29th, 2029",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_7,"August 30th, 2027",10000000.0,10000,100.0,2026-09-07 20:40:51.198048
HybridBond_7,"November 29th, 2027",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_7,"February 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_7,"May 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_7,"August 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_7,"November 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_7,"February 28th, 2029",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_7,"May 29th, 2029",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_8,"August 30th, 2027",10000000.0,10000,100.0,2026-09-07 20:40:51.198048
HybridBond_8,"November 29th, 2027",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_8,"February 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_8,"May 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_8,"August 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_8,"November 29th, 2028",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_8,"February 28th, 2029",10000000.0,0,0.0,2026-09-07 20:40:51.198048
HybridBond_8,"May 29th, 2029",10000000.0,0,0.0,2026-09-07 20:40:51.198048
